Color,Material,Scan,Value1,Value2,Value3,Value4,Value5,Value6,Value7,Value8,Value9,Value10,Value11,Value12,Value13,Value14,Value15,Value16,Value17,Value18,Value19,Value20
e,Dec,1,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,Material,Color
e,Dec,2,215.9,607.81,1899.83,175.62,968.77,550.97,41.88,91.15,394.43,107.92,154.77,24.58,40.62,29.73,85.16,141.69,35.12,27.1,BlackASA,BlackASA
e,Dec,3,182.0,278.0,2029.0,200.0,1241.0,776.0,73.0,165.0,327.0,226.0,150.0,53.0,50.0,36.0,94.0,126.0,55.0,29.0,BlackASA,BlackASA
e,Dec,4,223.29,612.67,1913.88,193.18,972.67,603.51,45.32,97.78,428.2,106.97,155.8,26.43,43.87,32.21,84.25,150.69,35.12,28.97,BlackASA,BlackASA
e,Dec,5,183.0,303.0,2044.0,220.0,1246.0,850.0,79.0,177.0,355.0,224.0,151.0,57.0,54.0,39.0,93.0,134.0,55.0,31.0,BlackASA,BlackASA
e,Dec,6,147.77,608.78,1921.37,191.42,970.33,602.09,57.94,129.27,435.44,127.98,147.55,30.61,54.43,32.21,84.25,150.69,37.67,29.9,BlackASA,BlackASA
e,Dec,7,117.0,300.0,2052.0,218.0,1243.0,848.0,101.0,234.0,361.0,268.0,143.0,66.0,67.0,39.0,93.0,134.0,59.0,32.0,BlackASA,BlackASA
e,Dec,8,167.47,609.75,1925.11,176.49,969.55,552.39,64.82,133.68,448.71,133.23,164.06,30.14,44.68,33.86,87.88,142.82,38.31,28.97,BlackASA,BlackASA
e,Dec,9,121.0,275.0,2056.0,201.0,1242.0,778.0,113.0,242.0,372.0,279.0,159.0,65.0,55.0,41.0,97.0,127.0,60.0,31.0,BlackASA,BlackASA
e,Dec,10,120.67,607.81,1924.18,183.52,965.64,574.4,96.37,180.09,352.21,187.19,123.82,33.39,53.61,30.55,85.16,152.94,40.22,30.84,BlackASA,BlackASA
e,Dec,11,103.0,288.0,2055.0,209.0,1237.0,809.0,168.0,326.0,292.0,392.0,120.0,72.0,66.0,37.0,94.0,136.0,63.0,33.0,BlackASA,BlackASA
e,Dec,12,152.69,610.73,1920.43,177.37,964.08,552.39,90.06,169.59,383.57,191.01,133.1,32.0,46.3,30.55,83.35,147.32,40.22,29.9,BlackASA,BlackASA
e,Dec,13,98.0,274.0,2051.0,202.0,1235.0,778.0,157.0,307.0,318.0,400.0,129.0,69.0,57.0,37.0,92.0,131.0,63.0,32.0,BlackASA,BlackASA
e,Dec,14,192.09,612.67,1910.13,189.66,977.35,574.4,49.33,113.25,351.01,121.29,139.29,28.29,50.36,28.08,83.35,146.19,37.03,28.97,BlackASA,BlackASA
e,Dec,15,160.0,291.0,2040.0,216.0,1252.0,809.0,86.0,205.0,291.0,254.0,135.0,61.0,62.0,34.0,92.0,130.0,58.0,31.0,BlackASA,BlackASA
e,Dec,16,117.39,601.99,1909.19,181.76,966.42,567.3,103.83,189.48,262.95,189.58,122.78,33.85,63.36,23.95,86.07,145.07,40.22,30.84,BlackASA,BlackASA
e,Dec,17,122.0,284.0,2039.0,207.0,1238.0,799.0,181.0,343.0,218.0,397.0,119.0,73.0,78.0,29.0,95.0,129.0,63.0,33.0,BlackASA,BlackASA
e,Dec,18,354.64,624.32,1901.7,180.01,959.4,563.04,102.11,187.27,1151.93,193.87,238.35,33.85,72.3,45.42,174.85,111.33,40.86,30.84,BlackASA,BlackASA
e,Dec,19,294.0,294.0,2031.0,205.0,1229.0,793.0,178.0,339.0,955.0,406.0,231.0,73.0,89.0,55.0,193.0,99.0,64.0,33.0,BlackASA,BlackASA
e,Dec,20,388.29,621.41,1897.02,180.01,953.93,563.75,99.82,182.85,677.89,195.31,238.35,33.85,61.74,33.86,151.29,130.45,40.86,29.9,BlackASA,BlackASA
e,Dec,21,150.0,283.0,2026.0,205.0,1222.0,794.0,174.0,331.0,562.0,409.0,231.0,73.0,76.0,41.0,167.0,116.0,64.0,32.0,BlackASA,BlackASA
