Color,Material,Scan,Value1,Value2,Value3,Value4
e,Dec,1,Actual Material,Color,Predicted Material,Mismatch
e,Dec,2,GreenPETG,GreenPETG,GreenPETG,False
e,Dec,3,WhitePLA,WhitePLA,WhitePLA,False
e,Dec,4,BluePETG,BluePETG,BluePETG,False
e,Dec,5,RedPLA,RedPLA,RedPLA,False
e,Dec,6,GreenPETG,GreenPETG,GreenPETG,False
e,Dec,7,BlueASA,BlueASA,BlueASA,False
e,Dec,8,BlackASA,BlackASA,BlackASA,False
e,Dec,9,GreenPLA,GreenPLA,GreenPLA,False
e,Dec,10,WhitePETG,WhitePETG,WhitePETG,False
e,Dec,11,RedPLA,RedPLA,RedPLA,False
e,Dec,12,BlackPETG,BlackPETG,BlackPETG,False
e,Dec,13,RedPETG,RedPETG,RedPETG,False
e,Dec,14,BlackPETG,BlackPETG,BlackPETG,False
e,Dec,15,BlackASA,BlackASA,BlackASA,False
e,Dec,16,BlackASA,BlackASA,BlackASA,False
e,Dec,17,WhiteASA,WhiteASA,WhiteASA,False
e,Dec,18,RedPLA,RedPLA,RedPLA,False
e,Dec,19,RedPETG,RedPETG,RedPETG,False
e,Dec,20,WhitePLA,WhitePLA,WhitePLA,False
e,Dec,21,RedASA,RedASA,RedASA,False
e,Dec,22,BlackPETG,BlackPETG,BlackPETG,False
e,Dec,23,BluePETG,BluePETG,BluePETG,False
e,Dec,24,BluePLA,BluePLA,BluePLA,False
e,Dec,25,BluePLA,BluePLA,BluePLA,False
e,Dec,26,RedPETG,RedPETG,RedPETG,False
e,Dec,27,RedPETG,RedPETG,RedPETG,False
e,Dec,28,BlueASA,BlueASA,BlueASA,False
e,Dec,29,BlackPETG,BlackPETG,BlackPETG,False
e,Dec,30,BluePETG,BluePETG,BluePETG,False
e,Dec,31,BlackPETG,BlackPETG,BlackPETG,False
e,Dec,32,WhiteASA,WhiteASA,WhiteASA,False
e,Dec,33,BlackPLA,BlackPLA,BlackPLA,False
e,Dec,34,RedASA,RedASA,RedASA,False
e,Dec,35,GreenPLA,GreenPLA,GreenPLA,False
e,Dec,36,GreenPLA,GreenPLA,GreenPLA,False
e,Dec,37,BlackASA,BlackASA,BlackASA,False
e,Dec,38,RedPETG,RedPETG,RedPETG,False
e,Dec,39,BluePLA,BluePLA,BluePLA,False
e,Dec,40,BluePLA,BluePLA,BluePLA,False
e,Dec,41,RedASA,RedASA,RedASA,False
e,Dec,42,BluePLA,BluePLA,BluePLA,False
e,Dec,43,BlueASA,BlueASA,BlueASA,False
e,Dec,44,WhitePETG,WhitePETG,WhitePETG,False
e,Dec,45,WhitePETG,WhitePETG,WhitePETG,False
e,Dec,46,BlackASA,BlackASA,BlackASA,False
e,Dec,47,BluePETG,BluePETG,BluePETG,False
e,Dec,48,RedASA,RedASA,RedASA,False
e,Dec,49,RedPLA,RedPLA,RedPLA,False
e,Dec,50,RedPLA,RedPLA,RedPLA,False
