Color,Material,Scan,Value1,Value2,Value3,Value4,Value5,Value6,Value7,Value8,Value9,Value10,Value11,Value12,Value13,Value14,Value15,Value16,Value17,Value18
R,PLA,1,302,730,1404,281,1083,564,248,491,436,1385,161,82,54,33,106,93,79,40
R,PLA,2,303,735,1418,0,1086,568,249,494,438,1389,164,83,55,33,105,92,81,40
R,PLA,3,304,738,1426,0,1087,575,249,495,444,1392,163,83,55,33,105,92,82,40
R,PLA,4,304,740,1430,0,1089,556,241,478,429,1394,173,81,54,32,105,88,82,39
R,PLA,5,304,741,1435,0,1089,557,242,480,430,1395,174,81,54,32,105,89,83,39
R,PLA,6,305,742,1437,295,1089,579,251,498,447,1396,165,84,56,34,105,92,83,40
R,PLA,7,305,743,1441,0,1090,577,250,496,445,1397,165,84,56,33,105,90,83,40
R,PLA,8,305,744,1442,0,1090,557,242,481,430,1398,174,82,55,33,105,94,83,40
R,PLA,9,305,744,1444,0,1090,569,247,490,439,1398,165,83,55,33,105,89,83,39
R,PLA,10,305,745,1445,0,1090,565,245,485,435,1398,174,82,55,33,105,87,84,39
R,PLA,11,306,745,1447,294,1090,571,250,497,440,1400,166,84,56,33,105,90,84,40
R,PLA,12,306,745,1446,0,1090,560,244,483,432,1398,174,82,55,33,105,94,83,41
R,PLA,13,306,745,1446,0,1091,571,248,491,440,1399,166,83,55,33,105,90,84,40
R,PLA,14,306,745,1447,0,1090,609,264,524,471,1399,174,89,59,35,105,94,84,42
R,PLA,15,306,746,1449,0,1090,575,249,495,444,1399,165,84,56,34,105,90,84,40
R,PLA,16,306,746,1449,0,1091,578,251,498,446,1399,165,84,56,34,105,90,84,40
R,PLA,17,306,746,1450,288,1090,558,243,482,431,1400,174,82,55,33,105,94,84,40
R,PLA,18,306,746,1450,0,1091,559,243,482,432,1400,175,82,55,33,105,88,84,39
R,PLA,19,306,746,1451,0,1091,577,250,496,445,1400,165,84,56,34,105,90,84,40
R,PLA,20,306,746,1451,291,1091,564,245,486,435,1400,175,83,55,33,105,94,84,41
R,PLA,21,306,746,1452,0,1091,568,247,489,439,1400,166,83,56,33,105,89,84,40
R,PLA,22,306,747,1452,299,1091,578,251,498,446,1400,165,84,56,34,105,91,84,40
