265.16,663.16,1938.22,185.27,1006.24,558.78,80.31,160.75,361.86,174.77,119.69,31.53,34.93,26.42,88.78,112.46,39.59,29.90
221,303,2070,211,1289,787,140,291,300,366,116,68,43,32,98,100,62,32
352.99,672.87,1954.14,190.54,1008.58,563.75,86.62,171.25,484.90,183.37,147.55,31.53,39.80,30.55,120.49,103.46,40.22,29.90
286,310,2087,217,1292,794,151,310,402,384,143,68,49,37,133,92,63,32
392.40,641.80,1939.16,175.62,978.91,560.20,103.26,187.27,1418.50,197.69,193.98,32.92,80.42,37.99,112.34,80.97,40.86,29.90
312,295,2071,200,1254,789,180,339,1176,414,188,71,99,46,124,72,64,32
398.97,657.33,1960.69,184.40,991.40,580.08,103.83,193.90,919.13,201.04,200.17,33.85,63.36,37.16,219.24,76.47,40.86,30.84
326,311,2094,210,1270,817,181,351,762,421,194,73,78,45,242,68,64,33
372.70,626.26,1914.81,176.49,978.13,556.65,106.13,187.82,936.02,198.65,195.01,33.85,68.24,33.03,86.97,67.47,40.22,29.90
295,287,2045,201,1253,784,185,340,776,416,189,73,84,40,96,60,63,32
175.68,632.09,1959.76,193.18,1007.80,585.05,53.92,126.50,453.54,131.80,123.82,29.68,66.61,32.21,86.07,133.82,37.67,28.97
127,305,2093,220,1291,824,94,229,376,276,120,64,82,39,95,119,59,31
210.98,632.09,1975.67,184.40,996.87,582.92,65.40,137.00,468.01,134.18,149.61,31.07,44.68,33.03,88.78,145.07,38.31,29.90
143,292,2110,210,1277,821,114,248,388,281,145,67,55,40,98,129,60,32
209.33,625.29,1951.33,182.64,992.18,572.98,106.13,191.14,247.27,198.17,90.80,34.78,59.30,21.47,71.57,137.20,40.22,30.84
106,283,2084,208,1271,807,185,346,205,415,88,75,73,26,79,122,63,33
404.71,685.49,2013.13,193.18,1006.24,585.76,101.54,196.66,1065.08,204.86,180.57,33.85,69.05,39.64,159.45,69.72,42.14,30.84
318,324,2150,220,1289,825,177,356,883,429,175,73,85,48,176,62,66,33
141.20,635.97,1996.27,187.91,1003.11,590.73,66.54,138.66,453.54,142.78,122.78,31.53,48.74,31.38,86.07,143.94,38.95,29.90
117,295,2132,214,1285,832,116,251,376,299,119,68,60,38,95,128,61,32
129.70,606.84,1933.54,187.03,988.28,579.37,88.34,169.04,425.79,177.16,125.88,33.39,45.49,29.73,89.69,142.82,40.22,30.84
112,291,2065,213,1266,816,154,306,353,371,122,72,56,36,99,127,63,33
286.50,672.87,1984.10,196.69,1017.16,585.76,88.34,173.46,357.04,176.68,121.75,33.39,32.49,23.95,101.47,106.83,40.86,30.84
248,319,2119,224,1303,825,154,314,296,370,118,72,40,29,112,95,64,33
368.59,669.95,1982.23,190.54,1000.77,575.11,91.79,179.54,572.95,188.62,163.02,32.46,45.49,32.21,144.05,89.96,40.86,30.84
302,315,2117,217,1282,810,160,325,475,395,158,70,56,39,159,80,64,33
233.14,677.72,1944.77,201.96,986.72,560.91,76.30,162.96,536.76,174.77,107.31,31.53,47.11,30.55,74.29,104.58,40.86,30.84
192,320,2077,230,1264,790,133,295,445,366,104,68,58,37,82,93,64,33
391.58,653.45,1940.09,184.40,986.72,558.78,95.80,182.30,950.49,195.78,156.83,32.46,66.61,40.46,76.10,70.85,41.50,29.90
316,301,2072,210,1264,787,167,330,788,410,152,70,82,49,84,63,65,32
135.45,608.78,1916.68,181.76,960.18,565.88,55.07,124.29,402.87,133.23,113.50,29.21,74.73,32.21,83.35,141.69,38.31,28.97
107,285,2047,207,1230,797,96,225,334,279,110,63,92,39,92,126,60,31
206.05,651.51,1936.35,188.79,986.72,545.29,77.44,158.54,334.12,164.27,92.86,30.61,38.18,23.95,71.57,112.46,39.59,29.90
210,300,2068,215,1264,768,135,287,277,344,90,66,47,29,79,100,62,32
402.25,671.89,1947.58,192.30,978.13,556.65,92.36,185.61,1104.89,202.47,159.93,31.53,73.92,41.29,92.41,67.47,40.86,30.84
324,313,2080,219,1253,784,161,336,916,424,155,68,91,50,102,60,64,33
324.26,609.75,1886.72,172.10,949.25,543.16,100.39,181.19,909.48,191.01,188.82,32.46,66.61,34.68,125.93,70.85,40.22,30.84
279,283,2015,196,1216,765,175,328,754,400,183,70,82,42,139,63,63,33
316.05,663.16,1956.01,191.42,982.82,562.33,87.20,174.01,578.98,198.65,160.96,32.00,47.93,30.55,109.62,86.59,41.50,30.84
177,304,2089,218,1259,792,152,315,480,416,156,69,59,37,121,77,65,33
117.39,602.96,1921.37,180.88,970.33,570.14,97.52,177.88,344.98,180.50,103.18,33.85,48.74,26.42,85.16,147.32,40.22,30.84
92,281,2052,206,1243,803,170,322,286,378,100,73,60,32,94,131,63,33
142.84,585.48,1886.72,180.88,954.71,566.59,59.66,125.40,458.36,165.22,128.98,30.14,44.68,32.21,88.78,142.82,39.59,28.97
164,279,2015,206,1223,798,104,227,380,346,125,65,55,39,98,127,62,31
194.56,618.49,1946.65,177.37,978.91,555.94,88.92,166.28,419.76,139.44,151.68,32.46,39.80,27.25,87.88,140.57,38.95,29.90
99,275,2079,202,1254,783,155,301,348,292,147,70,49,33,97,125,61,32
116.57,601.99,1919.49,175.62,974.23,553.10,97.52,177.33,297.93,186.71,92.86,32.92,60.92,23.95,80.63,134.95,40.22,29.90
100,273,2050,200,1248,779,170,321,247,391,90,71,75,29,89,120,63,32
309.49,669.95,1981.29,197.57,1010.14,580.08,95.80,186.72,960.14,195.31,166.12,33.39,77.17,45.42,192.97,82.09,41.50,30.84
248,315,2116,225,1294,817,167,338,796,409,161,72,95,55,213,73,65,33
273.37,654.42,1962.57,182.64,997.65,572.27,70.56,141.42,447.50,196.74,150.64,32.00,49.55,29.73,110.53,140.57,41.50,29.90
104,282,2096,208,1278,806,123,256,371,412,146,69,61,36,122,125,65,32
142.84,614.61,1929.79,185.27,983.60,577.95,69.41,141.42,388.40,145.64,110.40,32.00,81.23,33.03,86.07,142.82,38.95,29.90
113,288,2061,211,1260,814,121,256,322,305,107,69,100,40,95,127,61,32
128.06,601.02,1922.30,182.64,979.69,568.72,68.27,137.00,452.33,153.28,135.17,31.53,48.74,29.73,89.69,143.94,38.95,28.97
102,277,2053,208,1255,801,119,248,375,321,131,68,60,36,99,128,61,31
118.21,614.61,1940.09,180.88,974.23,572.27,93.51,174.56,343.77,184.80,96.99,33.39,42.24,23.95,83.35,142.82,40.22,30.84
94,284,2072,206,1248,806,163,316,285,387,94,72,52,29,92,127,63,33
156.80,620.43,1958.82,182.64,983.60,575.11,75.72,148.60,465.60,170.00,122.78,32.00,45.49,33.03,86.07,141.69,40.22,29.90
127,286,2092,208,1260,810,132,269,386,356,119,69,56,40,95,126,63,32
